"features_geometry_coordinates_0","features_geometry_coordinates_1","features_geometry_type","features_properties_city","features_properties_date","features_properties_description","features_properties_source","features_properties_source_href_0","features_properties_source_href_1","features_properties_source_href_2","features_properties_source_href_3","features_properties_state","features_properties_title","features_type"
"13.4365367504","52.5973397865","Point","Pankow, Berlin","01.08.2016","Aus der Antwort des Berliner Abgeordnetenhauses auf eine Kleine Anfrage der Partei Die Linke zu Straftaten gegen Asylsuchende und ihre Unterkünfte geht hervor, dass ein Unbekannter telefonisch androhte, eine Bombe in einer Gemeinschaftsunterkunft für Asylsuchende zu platzieren. Die zuständige Polizeidirektion ordnet diese Straftat als “politisch motivierte Kriminalität – rechts” ein. Allerdings veröffentlichte die Polizei keine Pressemitteilung zu dem Vorfall.","Berliner Abgeordnetenhaus","http://www.linksfraktion-berlin.de/uploads/media/S17-17661.pdf","","","","Berlin","Sonstige Angriffe auf Unterkünfte","Feature"
"9.14823056527","51.4885655564","Point","Warburg","04.02.2016","Unbekannte haben in der Nacht einen Brandanschlag auf eine bewohnte Asylunterkunft verübt. Verletzt wurde niemand.","Polizei Bielefeld","http://www.presseportal.de/blaulicht/pm/12522/3244470","","","","Nordrhein-Westfalen","Brandanschlag","Feature"
"13.3889175634","52.5171331996","Point","Berlin","04.02.2016","Ein Geflüchteter aus Pakistan und seine Begleiter wurden in einer S-Bahn von einem Mann angepöbelt und rassistisch beleidigt. Er unterstellte den beiden, dass sie die Stühle, die sie bei sich hatten, gestohlen hätten und trat nach ihnen. Augenzeugen schritten ein.","Augenzeugenvideo auf Facebook","https://www.facebook.com/sajidali.khan.7509/videos/685781171564665/","","","","Berlin","Sonstige Angriffe auf Unterkünfte","Feature"
"10.4674679913","48.2838466746","Point","Thannhausen","04.02.2016","Eine Gruppe zum Fasching verkleideter Menschen zog an einer Asylunterkunft vorbei und rief dabei lautstark rechte Parolen.","Polizei Bayern","https://www.polizei.bayern.de/schwaben_sw/news/presse/aktuell/index.html/235876","","","","Bayern","Sonstige Angriffe auf Unterkünfte","Feature"
"10.4882041488","48.0478643207","Point","Mindelheim","04.02.2016","Nach einer Faschingsparty kam es laut Polizei ""zu einer Streitigkeit zwischen einem 21-jährigen Flüchtling und mehreren Partybesuchern. Hierbei verpasste ein bislang unbekannter Täter dem Flüchtling einen Faustschlag ins Gesicht.""","Polizei Bayern","https://www.polizei.bayern.de/schwaben_sw/news/presse/aktuell/index.html/235507","","","","Bayern","Tätlicher Übergriff/Körperverletzung","Feature"
"12.4399884901","51.0884184931","Point","Regis-Breitingen","04.02.2016","Drei Männer haben einen Asylsuchenden aus Afghanistan angegriffen, der am Nachmittag an einem See joggte. Die Angreifer attackierten den Mann mit einem Messer und traten ihm in den Bauch. Laut Polizei erlitt der Mann eine Schnittwunde am Arm und hatte Schmerzen im Bauchbereich, konnte jedoch nach einer ambulanten Behandlung das Krankenhaus wieder verlassen.","Leipziger Volkszeitung","http://www.lvz.de/Mitteldeutschland/Polizeiticker-Mitteldeutschland/Angriff-mit-Messer-auf-Asylbewerber-in-Regis-Breitingen?utm_content=buffer2faee&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer","","","","Sachsen","Tätlicher Übergriff/Körperverletzung","Feature"
"8.56940255009","50.2062561908","Point","Oberursel","03.02.2016","Ein 28-jähriger Asylsuchender war mit dem Fahrrad unterwegs, als zwei Autos neben ihm hielten. Sieben bis acht Personen stiegen aus und attackierten den Mann mit Fäusten und einem Schlagstock. Dann entrissen sie ihm seinen Rucksack und flüchteten.","Polizeipräsidium Westhessen","http://www.presseportal.de/blaulicht/pm/50152/3243491","","","","Hessen","Tätlicher Übergriff/Körperverletzung","Feature"
"6.84906068796","51.5149641549","Point","Oberhausen","02.02.2016","Unbekannte haben am Morgen Feuer an einer geplanten Asylunterkunft gelegt. Offenbar hatte es nahe des Gebäudes eine Verpuffung gegeben. Verletzt wurde niemand, die Feuerwehr konnte den Brand schnell löschen. ""Wir gehen davon aus, dass jemand gezielt ein Feuer gelegt hat"", so ein Sprecher der Polizei. Die Feuerwehr fand auf einem brennenden Stapel Paletten auch Gasflaschen. Vermutlich planten der oder die Täter, eine Explosion herbeizuführen.","RuhrNachrichten, WAZ","http://www.ruhrnachrichten.de/nachrichten/vermischtes/aktuelles_berichte/Fremdenfeindliches-Motiv-moeglich-Unbekannte-legen-Feuer-an-geplanter-Fluechtlingsunterkunft;art29854,2936427","http://www.derwesten.de/wr/staedte/oberhausen/brandanschlag-auf-geplantes-fluechtlingsheim-in-oberhausen-id11519410.html","","","Nordrhein-Westfalen","Brandanschlag","Feature"
"14.0043616347","51.5187430768","Point","Senftenberg","02.02.2016","Unbekannte haben die Zufahrt zu einer geplanten Asylunterkunft mit einem Wall aus Erde und Baumstämmen blockiert. An dem zwei Meter hohen Wall war ein Transparent mit der Aufschrift „Nein zum Heim“ angebracht.","Focus","http://www.focus.de/regional/brandenburg/migration-zufahrt-zu-geplantem-fluechtlingsheim-mit-erdwall-blockiert_id_5256773.html","","","","Brandenburg","Sonstige Angriffe auf Unterkünfte","Feature"
"11.7523278708","52.7892350616","Point","Osterburg","02.02.2016","Gegen 18 Uhr rief eine Gruppe Jugendlicher vor der örtlichen Jugendfreizeiteinrichtung rassistische Parolen. Als zwei aus Syrien geflüchtete Jugendliche im Alter von 13 und 14 Jahren daraufhin aus dem Gebäude kamen, wurden sie auf dem Hof zu Boden gestoßen. Danach flüchteten die beiden zurück in das Freizeitzentrum. Später verfolgte eine größere Gruppe syrischer Jugendlicher die Angreifer. Erneut kam es zu einer Schlägerei. Laut Polizei wurde ein syrischer Jugendlicher leicht verletzt.","Volksstimme","http://www.volksstimme.de/lokal/stendal/20160203/koerperverletzung-schlaegerei-zwischen-deutschen-und-syrern","","","","Sachsen-Anhalt","Tätlicher Übergriff/Körperverletzung","Feature"
